TARGET_SHELF_TRY_KDV_DAHIL,CHANNEL,SCENARIO,VOLUME_BOTTLES,TARIFF_GROUP,CUSTOMS_RATE_PCT,MAX_CIF_TRY_UPPER_BOUND,MAX_CIF_EUR_AT_TCMB_20260810,MAX_CIF_USD_AT_TCMB_20260810,LABEL,STATUS,SOURCE
599,CHAIN_RETAIL,HIGH,25000,P_TERCIHLI_DOC_OK,50,173.2556,3.1420,3.6313,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,HIGH,25000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,152.8726,2.7724,3.2041,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,HIGH,50000,P_TERCIHLI_DOC_OK,50,174.2330,3.1597,3.6518,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,HIGH,50000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,153.7350,2.7880,3.2222,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,HIGH,100000,P_TERCIHLI_DOC_OK,50,176.0889,3.1934,3.6907,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,HIGH,100000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,155.3725,2.8177,3.2565,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,LOW,5000,P_TERCIHLI_DOC_OK,50,259.2739,4.7020,5.4342,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,LOW,5000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,228.7711,4.1488,4.7949,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,LOW,25000,P_TERCIHLI_DOC_OK,50,276.4034,5.0126,5.7932,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,LOW,25000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,243.8854,4.4229,5.1116,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,LOW,50000,P_TERCIHLI_DOC_OK,50,277.1342,5.0259,5.8085,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,LOW,50000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,244.5301,4.4346,5.1251,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,LOW,100000,P_TERCIHLI_DOC_OK,50,278.8700,5.0574,5.8449,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,LOW,100000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,246.0617,4.4624,5.1573,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,BASE,5000,P_TERCIHLI_DOC_OK,50,231.1639,4.1922,4.8450,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,BASE,5000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,203.9682,3.6990,4.2750,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,BASE,25000,P_TERCIHLI_DOC_OK,50,248.8467,4.5129,5.2156,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,BASE,25000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,219.5707,3.9820,4.6020,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,BASE,50000,P_TERCIHLI_DOC_OK,50,249.6108,4.5267,5.2316,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,BASE,50000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,220.2448,3.9942,4.6161,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,BASE,100000,P_TERCIHLI_DOC_OK,50,251.3666,4.5586,5.2684,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,BASE,100000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,221.7941,4.0223,4.6486,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,HIGH,5000,P_TERCIHLI_DOC_OK,50,191.6639,3.4759,4.0171,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,HIGH,5000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,169.1152,3.0669,3.5445,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,HIGH,25000,P_TERCIHLI_DOC_OK,50,209.3667,3.7969,4.3882,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,HIGH,25000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,184.7354,3.3502,3.8719,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,HIGH,50000,P_TERCIHLI_DOC_OK,50,210.3442,3.8146,4.4086,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,HIGH,50000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,185.5978,3.3659,3.8900,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,HIGH,100000,P_TERCIHLI_DOC_OK,50,212.2000,3.8483,4.4475,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
699,CHAIN_RETAIL,HIGH,100000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,187.2353,3.3955,3.9243,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,LOW,5000,P_TERCIHLI_DOC_OK,50,304.8295,5.5281,6.3890,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,LOW,5000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,268.9672,4.8778,5.6373,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,LOW,25000,P_TERCIHLI_DOC_OK,50,321.9590,5.8388,6.7480,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,LOW,25000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,284.0814,5.1519,5.9541,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,LOW,50000,P_TERCIHLI_DOC_OK,50,322.6897,5.8520,6.7633,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,LOW,50000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,284.7262,5.1636,5.9676,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,LOW,100000,P_TERCIHLI_DOC_OK,50,324.4255,5.8835,6.7997,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,LOW,100000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,286.2578,5.1913,5.9997,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,BASE,5000,P_TERCIHLI_DOC_OK,50,272.8306,4.9478,5.7183,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,BASE,5000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,240.7329,4.3657,5.0456,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,BASE,25000,P_TERCIHLI_DOC_OK,50,290.5134,5.2685,6.0889,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,BASE,25000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,256.3354,4.6487,5.3726,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,BASE,50000,P_TERCIHLI_DOC_OK,50,291.2775,5.2824,6.1049,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,BASE,50000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,257.0095,4.6609,5.3867,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,BASE,100000,P_TERCIHLI_DOC_OK,50,293.0333,5.3142,6.1417,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,BASE,100000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,258.5588,4.6890,5.4192,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,HIGH,5000,P_TERCIHLI_DOC_OK,50,227.7750,4.1307,4.7740,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,HIGH,5000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,200.9780,3.6448,4.2123,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,HIGH,25000,P_TERCIHLI_DOC_OK,50,245.4779,4.4518,5.1450,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,HIGH,25000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,216.5981,3.9280,4.5397,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,HIGH,50000,P_TERCIHLI_DOC_OK,50,246.4553,4.4695,5.1655,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,HIGH,50000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,217.4605,3.9437,4.5578,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,HIGH,100000,P_TERCIHLI_DOC_OK,50,248.3111,4.5032,5.2044,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
799,CHAIN_RETAIL,HIGH,100000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,219.0980,3.9734,4.5921,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
