GTIP,DIPNOT,AB_BK,GUR,B-HER,G.KORE,MLZ,SNG,KOS,VNZ,BAE,TPS-OIC,D-8,DU
220429320000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
2204.29.38.00.00,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429780000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429790000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429800000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429810000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429820000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429830000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429840000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429850000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429860000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429880000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429900000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429910000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429930000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429940000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429950000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429960000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429970000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429980000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220430100000,1,6.3,21.3,0,0,21.3,0,0,10.65,0,21.3,21.3,21.3
220430920000,1,6.3,21.3,0,0,21.3,0,0,10.65,0,21.3,21.3,21.3
220430940000,1,6.3,21.3,0,0,21.3,0,0,10.65,0,21.3,21.3,21.3
220430960000,1,6.3,21.3,0,0,21.3,0,0,10.65,0,21.3,21.3,21.3
220430980000,1,6.3,21.3,0,0,21.3,0,0,10.65,0,21.3,21.3,21.3

(1) Kuzey Makedonya Cumhuriyeti için DÜ sütununda yer alan gümrük vergisinin %50'si uygulanır.
(2) Şili Cumhuriyeti için gümrük vergisi %50 olarak uygulanır.
(3) Şili Cumhuriyeti için  gümrük vergisi %0 olarak uygulanır.
(4) Kuzey Makedonya Cumhuriyeti için  gümrük vergisi %0 olarak uygulanır.
(5) Norveç Krallığı ve İzlanda Cumhuriyeti için AB sütunundaki oran uygulanır.
